timestamp,scenario,node,event_type,user_utterance,note
"2026-06-12 07:11:12","3","INIT","session_start","",""
"2026-06-12 07:11:12","3","S3-00","enter","",""
"2026-06-12 07:11:32","3","S3-01","enter","",""
"2026-06-12 07:11:48","3","S3-01","user_ignored_tone","for",""
"2026-06-12 07:11:48","3","S3-02","enter","",""
"2026-06-12 07:12:01","3","S3-02","specialist_selected","speak English",""
"2026-06-12 07:12:25","3","S3-03","enter","",""
"2026-06-12 07:16:22","3","INIT","session_start","",""
"2026-06-12 07:16:22","3","S3-00","enter","",""
"2026-06-12 07:16:39","3","S3-00B","enter","",""
"2026-06-12 07:16:52","3","S3-01","enter","",""
"2026-06-12 07:20:24","3","INIT","session_start","",""
"2026-06-12 07:20:24","3","S3-00","enter","",""
"2026-06-12 07:20:42","3","S3-01","enter","",""
"2026-06-12 07:38:30","3","INIT","session_start","",""
"2026-06-12 07:38:30","3","S3-00","enter","",""
"2026-06-12 07:38:44","3","S3-01","enter","",""
"2026-06-12 07:38:57","3","S3-01","user_ignored_tone","okay",""
"2026-06-12 07:38:57","3","S3-02","enter","",""
"2026-06-12 07:39:19","3","S3-02","specialist_selected","neurologist",""
"2026-06-12 07:39:36","3","S3-03","enter","",""
"2026-06-12 07:39:43","3","S3-03","user_gave_availability","tomorrow or Wednesday",""
"2026-06-12 07:39:58","3","S3-03","user_gave_availability","tomorrow of Wednesday at 3 p.m.",""
"2026-06-12 07:40:15","3","S3-03","user_gave_availability","tomorrow Wednesday 3 p.m.",""
"2026-06-12 07:40:31","3","S3-03","user_gave_availability","tomorrow of 3 p.m.",""
"2026-06-12 07:48:28","3","INIT","session_start","",""
"2026-06-12 07:48:28","3","S3-00","enter","",""
"2026-06-12 07:48:41","3","S3-01","enter","",""
"2026-06-12 07:48:57","3","S3-02","enter","",""
"2026-06-12 07:49:14","3","S3-02","specialist_selected","neurologist",""
"2026-06-12 07:49:32","3","S3-03","enter","",""
"2026-06-12 07:49:41","3","S3-03","user_gave_availability","next Wednesday morning around 9:00",""
"2026-06-12 07:49:56","3","S3-03","user_gave_availability","next Wednesday morning around 9:00",""
"2026-06-12 07:50:11","3","S3-03","user_gave_availability","next Wednesday",""
"2026-06-12 07:50:25","3","S3-03","user_gave_availability","okay continue",""
"2026-06-12 07:57:34","3","INIT","session_start","",""
"2026-06-12 07:57:34","3","S3-00","enter","",""
"2026-06-12 07:57:48","3","S3-01","enter","",""
"2026-06-12 07:58:06","3","S3-02","enter","",""
"2026-06-12 07:58:22","3","S3-02","specialist_selected","I want neurologist",""
"2026-06-12 07:58:43","3","S3-03","enter","",""
"2026-06-12 07:58:52","3","S3-03","user_gave_availability","next Wednesday morning around 9:00",""
"2026-06-12 07:59:06","3","S3-03B","user_repeated_calmly","next",""
